X1;tahun;judul;keterangan;urls;topik_no;topik;abstrak
1;2000;A Statistical Part-of-Speech Tagger;TLDR: Seminal paper demonstrating a powerful HMM-based POS tagger. Many tips and tricks for building such classical systems included.;https://arxiv.org/pdf/cs/0003055.pdf;1; Part-of-speech Tagging;Trigrams’n’Tags (TnT) is an efficient statistical part-of-speech tagger. Contrary to claims found elsewhere in the literature, we argue that a tagger based on Markov models performs at least as well as other current approaches, including the Maximum Entropy framework. A recent comparison has even shown that TnT performs significantly better for the tested corpora. We describe the basic model of TnT, the techniques used for smoothing and for handling unknown words. Furthermore, we present evalua- tions on two corpora. 
2;2003;Feature-rich part-of-speech tagging with a cyclic dependency network;TLDR: Proposes a number of powerful linguistic features for building a (then) SOTA POS-tagging system;https://nlp.stanford.edu/pubs/tagging.pdf;1; Part-of-speech Tagging;We present a new part-of-speech tagger that demonstrates the following ideas: (i) explicit use of both preceding and following tag con- texts via a dependency network representa- tion, (ii) broad use of lexical features, includ- ing jointly conditioning on multiple consecu- tive words, (iii) effective use of priors in con- ditional loglinear models, and (iv) fine-grained modeling of unknown word features. Using these ideas together, the resulting tagger gives a 97.24% accuracy on the Penn Treebank WSJ, an error reduction of 4.4% on the best previous single automatically learned tagging result. 
3;2015;Bidirectional LSTM-CRF Models for Sequence Tagging;TLDR: Proposes an element sequence-tagging model combining neural networks with conditional random fields, achieving SOTA in POS-tagging, NER, and chunking.;https://arxiv.org/pdf/1508.01991.pdf;1; Part-of-speech Tagging;In this paper, we propose a variety of Long Short-Term Memory (LSTM) based mod- els for sequence tagging. These mod- els include LSTM networks, bidirectional LSTM (BI-LSTM) networks, LSTM with a Conditional Random Field (CRF) layer (LSTM-CRF) and bidirectional LSTM with a CRF layer (BI-LSTM-CRF). Our work is the first to apply a bidirectional LSTM CRF (denoted as BI-LSTM-CRF) model to NLP benchmark sequence tag- ging data sets. We show that the BI- LSTM-CRF model can efficiently use both past and future input features thanks to a bidirectional LSTM component. It can also use sentence level tag information thanks to a CRF layer. The BI-LSTM- CRF model can produce state of the art (or close to) accuracy on POS, chunking and NER data sets. In addition, it is robust and has less dependence on word embedding as compared to previous observations. 
4;2003;Accurate unlexicalized parsing;TLDR: Beautiful paper demonstrating that unlexicalized probabilistic context free grammars can exceed the performance of lexicalized PCFGs.;https://people.eecs.berkeley.edu/~klein/papers/unlexicalized-parsing.pdf;2; Parsing;We demonstrate that an unlexicalized PCFG can parse much more accurately than previously shown, by making use of simple, linguistically motivated state splits, which break down false independence assumptions latent in a vanilla treebank grammar. Indeed, its performance of 86.36% (LP/LR F1) is better than that of early lexicalized PCFG models, and surprisingly close to the current state-of-the- art. This result has potential uses beyond establish- ing a strong lower bound on the maximum possi- ble accuracy of unlexicalized models: an unlexical- ized PCFG is much more compact, easier to repli- cate, and easier to interpret than more complex lex- ical models, and the parsing algorithms are simpler, more widely understood, of lower asymptotic com- plexity, and easier to optimize. 
6;2005;Incorporating Non-local Information into Information Extraction Systems by Gibbs Sampling;TLDR: Using cool Monte Carlo methods combined with a conditional random field model, this work achieves a huge error reduction in certain information extraction benchmarks.;http://nlp.stanford.edu/~manning/papers/gibbscrf3.pdf;2; Parsing;Most current statistical natural language process- ing models use only local features so as to permit dynamic programming in inference, but this makes them unable to fully account for the long distance structure that is prevalent in language use. We show how to solve this dilemma with Gibbs sam- pling, a simple Monte Carlo method used to per- form approximate inference in factored probabilis- tic models. By using simulated annealing in place of Viterbi decoding in sequence models such as HMMs, CMMs, and CRFs, it is possible to incorpo- rate non-local structure while preserving tractable inference. We use this technique to augment an existing CRF-based information extraction system with long-distance dependency models, enforcing label consistency and extraction template consis- tency constraints. This technique results in an error reduction of up to 9% over state-of-the-art systems on two established information extraction tasks. 
7;2015;Bidirectional LSTM-CRF Models for Sequence Tagging;TLDR: Proposes an element sequence-tagging model combining neural networks with conditional random fields, achieving SOTA in POS-tagging, NER, and chunking.;https://arxiv.org/pdf/1508.01991.pdf;3; Named Entity Recognition;In this paper, we propose a variety of Long Short-Term Memory (LSTM) based mod- els for sequence tagging. These mod- els include LSTM networks, bidirectional LSTM (BI-LSTM) networks, LSTM with a Conditional Random Field (CRF) layer (LSTM-CRF) and bidirectional LSTM with a CRF layer (BI-LSTM-CRF). Our work is the first to apply a bidirectional LSTM CRF (denoted as BI-LSTM-CRF) model to NLP benchmark sequence tag- ging data sets. We show that the BI- LSTM-CRF model can efficiently use both past and future input features thanks to a bidirectional LSTM component. It can also use sentence level tag information thanks to a CRF layer. The BI-LSTM- CRF model can produce state of the art (or close to) accuracy on POS, chunking and NER data sets. In addition, it is robust and has less dependence on word embedding as compared to previous observations. 
8;2010;A multi-pass sieve for coreference resolution;TLDR: Proposes a sieve-based approach to coreference resolution that for many years (until deep learning approaches) was SOTA.;https://nlp.stanford.edu/pubs/conllst2011-coref.pdf;3; Named Entity Recognition;This paper details the coreference resolution system submitted by Stanford at the CoNLL- 2011 shared task. Our system is a collection of deterministic coreference resolution mod- els that incorporate lexical, syntactic, seman- tic, and discourse information. All these mod- els use global document-level information by sharing mention attributes, such as gender and number, across mentions in the same cluster. We participated in both the open and closed tracks and submitted results using both pre- dicted and gold mentions. Our system was ranked first in both tracks, with a score of 57.8 in the closed track and 58.3 in the open track. 
9;2015;Entity-Centric Coreference Resolution with Model Stacking;TLDR: This work offers a nifty approach to building coreference chains iteratively using entity-level features.;http://cs.stanford.edu/~kevclark/resources/clark-manning-acl15-entity.pdf;4; Coreference Resolution;Mention pair models that predict whether or not two mentions are coreferent have historically been very effective for coref- erence resolution, but do not make use of entity-level information. However, we show that the scores produced by such models can be aggregated to define pow- erful entity-level features between clusters of mentions. Using these features, we train an entity-centric coreference system that learns an effective policy for building up coreference chains incrementally. The mention pair scores are also used to prune the search space the system works in, al- lowing for efficient training with an exact loss function. We evaluate our system on the English portion of the 2012 CoNLL Shared Task dataset and show that it im- proves over the current state of the art. 
10;2016;Improving Coreference Resolution by Learning Entity-Level Distributed Representations;TLDR: One of the earliest effective approaches to using neural networks for coreference resolution, significantly outperforming the SOTA.;https://cs.stanford.edu/~kevclark/resources/clark-manning-acl16-improving.pdf;4; Coreference Resolution;A long-standing challenge in coreference resolution has been the incorporation of entity-level information – features defined over clusters of mentions instead of men- tion pairs. We present a neural net- work based coreference system that pro- duces high-dimensional vector represen- tations for pairs of coreference clusters. Using these representations, our system learns when combining clusters is de- sirable. We train the system with a learning-to-search algorithm that teaches it which local decisions (cluster merges) will lead to a high-scoring final corefer- ence partition. The system substantially outperforms the current state-of-the-art on the English and Chinese portions of the CoNLL 2012 Shared Task dataset despite using few hand-engineered features. 
11;2012;Baselines and Bigrams: Simple, Good Sentiment and Topic Classification;TLDR: Very elegant paper, illustrating that simple Naive Bayes models with bigram features can outperform more sophisticated methods like support vector machines on tasks such as sentiment analysis.;https://www.aclweb.org/anthology/P12-2018;4; Coreference Resolution;Recent trends suggest that neural- network-inspired word embedding models outperform traditional count-based distri- butional models on word similarity and analogy detection tasks. We reveal that much of the performance gains of word embeddings are due to certain system design choices and hyperparameter op- timizations, rather than the embedding algorithms themselves. Furthermore, we show that these modifications can be transferred to traditional distributional models, yielding similar gains. In contrast to prior reports, we observe mostly local or insignificant performance differences between the methods, with no global advantage to any single approach over the others. 
12;2013;Recursive deep models for semantic compositionality over a sentiment treebank;TLDR: Introduces the Stanford Sentiment Treebank, a wonderful resource for fine-grained sentiment annotation on sentences. Also introduces the Recursive Neural Tensor Network, a neat linguistically-motivated deep learning architecture.;https://nlp.stanford.edu/~socherr/EMNLP2013_RNTN.pdf;5; Sentiment Analysis;Semantic word spaces have been very use- ful but cannot express the meaning of longer phrases in a principled way. Further progress towards understanding compositionality in tasks such as sentiment detection requires richer supervised training and evaluation re- sources and more powerful models of com- position. To remedy this, we introduce a Sentiment Treebank. It includes fine grained sentiment labels for 215,154 phrases in the parse trees of 11,855 sentences and presents new challenges for sentiment composition- ality. To address them, we introduce the Recursive Neural Tensor Network. When trained on the new treebank, this model out- performs all previous methods on several met- rics. It pushes the state of the art in single sentence positive/negative classification from 80% up to 85.4%. The accuracy of predicting fine-grained sentiment labels for all phrases reaches 80.7%, an improvement of 9.7% over bag of features baselines. Lastly, it is the only model that can accurately capture the effects of negation and its scope at various tree levels for both positive and negative phrases. 
13;2007;Natural Logic for Textual Inference;TLDR: Proposes a rigorous logic-based approach to the problem of textual inference called natural logic. Very cool mathematically-motivated transforms are used to deduce the relationship between phrases.;https://nlp.stanford.edu/pubs/natlog-wtep07.pdf;5; Sentiment Analysis;"This paper presents the first use of a com- putational model of natural logic—a sys- tem of logical inference which operates over natural language—for textual infer- ence. Most current approaches to the PAS- CAL RTE textual inference task achieve ro- bustness by sacrificing semantic precision; while broadly effective, they are easily con- founded by ubiquitous inferences involving monotonicity. At the other extreme, systems which rely on first-order logic and theorem proving are precise, but excessively brittle. This work aims at a middle way. Our system finds a low-cost edit sequence which trans- forms the premise into the hypothesis; learns to classify entailment relations across atomic edits; and composes atomic entailments into a top-level entailment judgment. We pro- vide the first reported results for any system on the FraCaS test suite. We also evaluate on RTE3 data, and show that hybridizing an existing RTE system with our natural logic system yields significant performance gains. "
